2.0,5.0
6.0,9.0
4.0,3.0
5.0,20.0
1.0,0.0
3.0,2.0
9.0,1.0
7.0,5.0
2.0,2.0
6.0,15.0
0.0,0.0
4.0,2.0
5.0,12.0
1.0,0.0
3.0,0.0
9.0,0.0
7.0,7.0
2.0,92.0
6.0,511.0
0.0,9.0
4.0,44.0
5.0,800.0
1.0,6.0
3.0,39.0
9.0,65.0
7.0,260.0
5.0,0.0
1.0,0.0
7.0,0.0
5.0,0.0
1.0,1.0
7.0,0.0
5.0,1.0
1.0,0.0
3.0,0.0
7.0,4.0
2.0,0.0
6.0,0.0
0.0,0.0
4.0,0.0
5.0,0.0
1.0,0.0
3.0,0.0
9.0,0.0
7.0,0.0
2.0,0.0
6.0,0.0
0.0,0.0
4.0,0.0
5.0,13.0
1.0,2.0
3.0,0.0
9.0,4.0
7.0,28.0
2.0,2.0
6.0,3.0
5.0,19.0
1.0,1.0
3.0,0.0
9.0,3.0
7.0,31.0
2.0,0.0
6.0,1.0
0.0,0.0
4.0,0.0
5.0,4.0
1.0,1.0
3.0,0.0
9.0,0.0
7.0,6.0
2.0,7.0
6.0,22.0
0.0,1.0
4.0,4.0
5.0,90.0
1.0,19.0
3.0,1.0
9.0,24.0
7.0,194.0
5.0,1.0
7.0,3.0
2.0,0.0
6.0,0.0
0.0,0.0
4.0,0.0
5.0,1.0
1.0,0.0
9.0,0.0
7.0,2.0
2.0,0.0
6.0,0.0
0.0,0.0
4.0,0.0
5.0,11.0
1.0,0.0
9.0,1.0
7.0,37.0
6.0,0.0
5.0,4.0
7.0,2.0
2.0,0.0
6.0,0.0
5.0,0.0
1.0,0.0
7.0,0.0
2.0,0.0
6.0,0.0
5.0,21.0
1.0,0.0
7.0,1.0
6.0,2.0
5.0,17.0
1.0,0.0
3.0,0.0
9.0,4.0
7.0,5.0
2.0,0.0
6.0,3.0
0.0,0.0
4.0,0.0
5.0,6.0
1.0,0.0
3.0,0.0
9.0,0.0
7.0,7.0
2.0,31.0
6.0,343.0
0.0,4.0
4.0,31.0
5.0,601.0
1.0,3.0
3.0,17.0
9.0,45.0
7.0,389.0
0.0,0.0
5.0,4.0
1.0,1.0
7.0,6.0
2.0,0.0
6.0,0.0
0.0,0.0
4.0,0.0
5.0,2.0
1.0,3.0
9.0,0.0
7.0,7.0
2.0,2.0
6.0,0.0
0.0,1.0
4.0,0.0
5.0,14.0
1.0,5.0
9.0,0.0
7.0,22.0
2.0,1.0
6.0,0.0
0.0,0.0
5.0,3.0
1.0,1.0
3.0,1.0
9.0,1.0
7.0,13.0
2.0,0.0
6.0,1.0
0.0,0.0
4.0,0.0
5.0,4.0
1.0,0.0
3.0,0.0
9.0,0.0
7.0,20.0
2.0,2.0
6.0,9.0
0.0,0.0
4.0,1.0
5.0,55.0
1.0,3.0
3.0,0.0
9.0,6.0
7.0,150.0
2.0,4.0
6.0,14.0
0.0,2.0
4.0,1.0
5.0,136.0
